,id,location,x,y
381,381,Roosevelt Island,-73.9614563,40.76024628
382,382,Upper West Side,-73.96095276,40.78108978
383,383,Midtown,-73.98223877,40.76477051
384,384,Gramercy,-73.98338318,40.73899841
385,385,West Village,-73.99687958,40.73756027
386,386,East Village,-73.98159027,40.73248291
387,387,Midtown,-73.97801971,40.76390839
388,388,Hell's Kitchen,-74.00077057,40.76231003
389,389,Chinatown,-73.99662781,40.71520615
390,390,Hell's Kitchen,-73.98985291,40.756721500000005
391,391,Greenwich Village,-73.99496459999999,40.73319244
392,392,Upper West Side,-73.98941040000001,40.77272415
393,393,Central Park,-73.95789337,40.78051758
394,394,Hell's Kitchen,-73.99053192,40.75622177
395,395,Tribeca,-74.00475311,40.71717834
396,396,Upper West Side,-73.96523285,40.7751236
397,397,Central Park,-73.97824097,40.77311325
398,398,Roosevelt Island,-73.96144104,40.75995636
399,399,Midtown,-73.98231506,40.74753952
400,400,Roosevelt Island,-73.96056366,40.76602936
401,401,East Village,-73.99012756,40.71932983
402,402,Upper West Side,-73.97062683,40.78833008
403,403,Kips Bay,-73.97583771,40.74068069
404,404,Midtown,-73.97502899,40.74184799
405,405,East Village,-73.99087524,40.73462677
406,406,Flatiron District,-73.98388672,40.7442894
407,407,Upper West Side,-73.98043059999999,40.78237152
408,408,Midtown,-73.96576691,40.75441742
409,409,Central Park,-73.95697021,40.77060318
410,410,Central Park,-73.95928955,40.76914978
411,411,Upper East Side,-73.94572449,40.78190613
412,412,,-73.99944305,40.73373795
413,413,East Village,-73.98522186,40.73186874
414,414,Central Park,-73.9784317,40.77262878
415,415,Central Park,-73.95002747,40.78450775
416,416,Midtown,-73.98146057,40.76427460000001
417,417,Hell's Kitchen,-73.98613739,40.76214218
418,418,Midtown,-73.98100281,40.7600708
419,419,Battery Park City,-74.0164032,40.71475220000001
420,420,Midtown,-73.96362305,40.7586937
421,421,Murray Hill,-73.9752655,40.75105667
422,422,LaGuardia Airport,-73.87093353,40.77375793
423,423,Central Park,-73.96221924,40.76757813
424,424,Midtown,-73.97238922,40.75688171
425,425,Financial District,-74.00518036,40.70600128
426,426,Upper East Side,-73.94595337,40.77545547
427,427,Hell's Kitchen,-73.99066162,40.75608063
428,428,Midtown,-73.96630859,40.76542282
429,429,Roosevelt Island,-73.95368195,40.76669693
430,430,Murray Hill,-73.97903442,40.75099564
431,431,Upper West Side,-73.97033691,40.78382111
432,432,Tribeca,-74.00880432,40.71946335
433,433,LaGuardia Airport,-73.87280273,40.77383423
434,434,Upper West Side,-73.96766663,40.80282974
435,435,Chelsea,-74.00623322,40.74858475
436,436,Murray Hill,-73.97006989,40.75268173
437,437,Upper West Side,-73.96746063,40.80323029
438,438,Central Park,-73.95559692,40.77193832
439,439,Upper West Side,-73.96175385,40.77365112
440,440,Upper West Side,-73.98126984,40.78196335
441,441,Central Park,-73.95227814,40.78113174
442,442,Midtown,-73.98119354,40.75976944
443,443,East Village,-73.98561859,40.72714996
444,444,Central Park,-73.95935822,40.7718811
445,445,Midtown,-73.98005676,40.74336624
446,446,Theater District,-73.98335266,40.75600815
447,447,Midtown,-73.97483826,40.75600052
448,448,Financial District,-74.00994873,40.70325089
449,449,Midtown,-73.98072815,40.76438904
450,450,Central Park,-73.95274353,40.77846527
451,451,SoHo,-74.00112915,40.72745132
452,452,Upper East Side,-73.94648743,40.78067017
453,453,Central Park,-73.96360016,40.76864243
454,454,Theater District,-73.98755646,40.75453568
455,455,West Village,-74.00112915,40.74174881
456,456,,-73.99903107,40.73423767
457,457,,-73.96185303,40.75952911
458,458,Upper West Side,-73.96070862,40.77563095
459,459,Midtown,-73.98065948,40.76596832
460,460,Chelsea,-73.99616241,40.7485733
461,461,East Village,-73.98722076,40.73305511
462,462,Murray Hill,-73.96793365,40.7524147
463,463,Upper East Side,-73.94818878,40.77051163
464,464,Hell's Kitchen,-73.98938751,40.7577095
465,465,East Village,-73.98181152,40.73235703
466,466,Central Park,-73.95493317,40.78302765
467,467,Gramercy,-73.98681641,40.73948288
468,468,West Village,-73.99911499,40.739307399999994
469,469,Theater District,-73.98331451,40.75689316
470,470,Murray Hill,-73.97702026,40.75197983
471,471,John F. Kennedy International Airport,-73.77667236,40.64539337
472,472,Central Park,-73.97824859999999,40.77309799
473,473,Chelsea,-73.99667358,40.75282288
474,474,Roosevelt Island,-73.95281982,40.76732254
475,475,Chelsea,-74.00674438,40.74399567
476,476,Upper East Side,-73.94817352,40.77437973
477,477,West Village,-73.99852753,40.7403717
478,478,Roosevelt Island,-73.95941925,40.76309967
479,479,Murray Hill,-73.97924042,40.74994278
