VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	pickup_longitude	pickup_latitude	RatecodeID	store_and_fwd_flag	dropoff_longitude	dropoff_latitude	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
2	2016-01-01 0:01	2016-01-01 0:21	1	2.94	-73.97940063	40.73976898	1	N	-73.99954987	40.74251938	1	15	0.5	0.5	0	0	0.3	16.3
2	2016-01-01 0:01	2016-01-01 0:05	3	1.89	-73.97293091	40.75260162	1	N	-73.95585632	40.77605057	1	7.5	0.5	0.5	1	0	0.3	9.8
1	2016-01-01 0:01	2016-01-01 0:10	2	0.8	-73.97964478	40.76019669	1	N	-73.97485352	40.75374222	2	7	0.5	0.5	0	0	0.3	8.3
1	2016-01-01 0:01	2016-01-01 0:19	1	5	-73.99504089	40.76044846	1	N	-73.93881226	40.79938507	2	17.5	0.5	0.5	0	0	0.3	18.8
2	2016-01-01 0:01	2016-01-01 0:13	1	3.86	-73.97683716	40.76459122	1	N	-73.95410156	40.80475998	1	13	0.5	0.5	2.86	0	0.3	17.16
2	2016-01-01 0:01	2016-01-01 0:12	1	2.7	-74.00095367	40.73083878	1	N	-74.0172348	40.70491791	2	11	0.5	0.5	0	0	0.3	12.3
1	2016-01-01 0:01	2016-01-01 0:35	1	3.1	-73.97439575	40.76387787	1	N	-73.99926758	40.72816086	1	21	0.5	0.5	4.45	0	0.3	26.75
1	2016-01-01 0:01	2016-01-01 0:02	1	0.1	-73.95517731	40.77317429	1	N	-73.95623016	40.77203751	3	3	0.5	0.5	0	0	0.3	4.3
2	2016-01-01 0:01	2016-01-01 0:14	1	1.4	-73.98986816	40.72937012	1	N	-73.98392487	40.74564743	1	9	0.5	0.5	3.09	0	0.3	13.39
1	2016-01-01 0:01	2016-01-01 0:25	1	11.2	-73.96961212	40.75771332	1	N	-73.90223694	40.70281219	1	32.5	0.5	0.5	0	0	0.3	33.8
1	2016-01-01 0:01	2016-01-01 0:29	1	5.6	-74.00241852	40.73323441	1	N	-73.92458344	40.69191742	1	22.5	0.5	0.5	4.75	0	0.3	28.55
2	2016-01-01 0:01	2016-01-01 0:10	1	1.52	-73.97177124	40.7598381	1	N	-73.98751831	40.74872208	1	8	0.5	0.5	2.79	0	0.3	12.09
2	2016-01-01 0:01	2016-01-01 0:05	1	0.76	-73.94184875	40.82948303	1	N	-73.93864441	40.83986664	2	4.5	0.5	0.5	0	0	0.3	5.8
2	2016-01-01 0:01	2016-01-01 0:12	5	2.68	-74.01052094	40.71841049	1	N	-73.99134827	40.74520874	1	10	0.5	0.5	2	0	0.3	13.3
2	2016-01-01 0:01	2016-01-01 0:25	1	2.7	-74.00708771	40.71913147	1	N	-73.98757935	40.74988937	1	16	0.5	0.5	1.5	0	0.3	18.8
1	2016-01-01 0:01	2016-01-01 0:14	1	4.3	-73.99446869	40.71897888	1	N	-73.95662689	40.6743927	1	15	0.5	0.5	3.25	0	0.3	19.55
2	2016-01-01 0:01	2016-01-01 0:13	1	6.29	-73.98499298	40.77389145	1	N	-73.93649292	40.84777069	2	19.5	0.5	0.5	0	0	0.3	20.8
2	2016-01-01 0:01	2016-01-01 0:05	1	1.22	-73.86269379	40.76873016	1	N	-73.87529755	40.77035904	1	6	0.5	0.5	0	0	0.3	7.3
2	2016-01-01 0:01	2016-01-01 0:15	5	1.49	-73.99803162	40.71966934	1	N	-73.98390961	40.73180008	1	10	0.5	0.5	2.26	0	0.3	13.56
2	2016-01-01 0:01	2016-01-01 0:37	5	11.55	-73.79447937	40.65715027	1	N	-73.88738251	40.65415955	2	36.5	0.5	0.5	0	0	0.3	37.8
1	2016-01-01 0:01	2016-01-01 0:15	1	2.9	0	0	1	N	0	0	2	12	0.5	0.5	0	0	0.3	13.3
2	2016-01-01 0:01	2016-01-01 0:18	1	2.67	-74.00284576	40.73115158	1	N	-73.973526	40.74871063	1	12.5	0.5	0.5	1.1	0	0.3	14.9
2	2016-01-01 0:01	2016-01-01 0:19	1	4.26	-73.97858429	40.76258087	1	N	-73.96331024	40.79871368	1	17	0.5	0.5	3.66	0	0.3	21.96
1	2016-01-01 0:01	2016-01-01 0:09	1	1.3	-73.99577332	40.75932312	1	N	-73.99487305	40.75030136	2	7.5	0.5	0.5	0	0	0.3	8.8
1	2016-01-01 0:01	2016-01-01 0:08	1	1.3	-74.00505066	40.7399559	1	N	-73.98983765	40.72943497	2	7	0.5	0.5	0	0	0.3	8.3
2	2016-01-01 0:01	2016-01-01 0:08	3	1.18	-73.99897003	40.73460007	1	N	-73.98368073	40.72577667	2	6.5	0.5	0.5	0	0	0.3	7.8
